player,map,N,Stats_kd,Stats_kast,P_kd,P_kast,reject_kd,reject_kast
aVN,Anubis,221,0.9888393242439195,0.9797336880966345,0.08372411517885675,0.0028904245482884935,0,1
aVN,Dust2,110,0.9817648084215831,0.983165780834171,0.137767466403226,0.1808460554843317,0,0
aVN,Inferno,159,0.9846717860331105,0.9874032667409427,0.07644019423536282,0.16276669711189978,0,0
aVN,Mirage,174,0.9891870666283766,0.9858541174058763,0.20712024423756076,0.07631914748298303,0,0
aVN,Nuke,175,0.9899262808496397,0.9900442466893254,0.2526450058769363,0.2613234137633942,0,0
Rossi,Ancient,46,0.974501252146016,0.9650713540446189,0.4025657355299892,0.18022763803895236,0,0
SENER1,Ancient,86,0.9755172906435454,0.9843483622335046,0.10152454436200625,0.38641946956221973,0,0
SENER1,Dust2,46,0.9712801333757344,0.985536422243734,0.30883362721389157,0.8305964831811112,0,0
SENER1,Mirage,86,0.9869598534463967,0.9882747102919074,0.5449552255852197,0.6356101082749193,0,0
Botpa1,Mirage,53,0.9723048225577814,0.9504598412401468,0.2533459686512471,0.028167689169352708,0,1
kRaSnaL,Ancient,73,0.9855535980731794,0.9824083532500603,0.5720465219936274,0.4021486079710303,0,0
kRaSnaL,Anubis,75,0.9835286924791536,0.9634313314809544,0.43934574378499514,0.02912278103483481,0,1
kRaSnaL,Mirage,99,0.9891273743597508,0.9804019784333061,0.6017556251761838,0.1472253344795469,0,0
kRaSnaL,Nuke,75,0.9890423792016835,0.9892470365338434,0.7694964060943561,0.7818186427052882,0,0
pz,Anubis,48,0.9768013993518578,0.9724102390946235,0.45340108622319847,0.313526191694423,0,0
pz,Dust2,61,0.9665932874456762,0.9584473591777684,0.09413343303703248,0.03700877456953898,0,1
pz,Inferno,67,0.978988064836938,0.9656332506002007,0.3152688514336632,0.06078582187265987,0,0
pz,Mirage,56,0.9803154392540155,0.9769573917623936,0.4892327318373494,0.35750210780023906,0,0
pz,Nuke,67,0.9775122897069461,0.9824975946842923,0.2649327545811897,0.46631145620148323,0,0
magixx,Ancient,59,0.9618630227343457,0.9844963488290072,0.06167553160788499,0.6544662788080953,0,0
magixx,Anubis,50,0.94566362019844,0.9572603556253679,0.022703823585309712,0.06825896023307074,1,0
magixx,Dust2,64,0.9821523750214859,0.9548775067345513,0.4814206198628943,0.020023694981720755,0,1
magixx,Mirage,76,0.9777257148755524,0.9804561030762812,0.20164078316295397,0.29113517842708375,0,0
magixx,Nuke,63,0.9862133846468075,0.9801600882824244,0.7050240658284723,0.40210951487390434,0,0
mds,Dust2,47,0.9727682008899807,0.9728382901692622,0.33633897611332475,0.338339361001023,0,0
mds,Mirage,45,0.9711071602446927,0.981652898782905,0.31743161294473204,0.6870661895450765,0,0
mds,Nuke,56,0.9797234766194591,0.9632655317071873,0.4639044170033483,0.0859114839572877,0,0
khaN,Ancient,177,0.9891495888184555,0.9919690839444661,0.19520339533711906,0.43217542803420306,0,0
khaN,Anubis,104,0.9827423574602465,0.9699131985132514,0.19488692057941143,0.018053761741459735,0,1
khaN,Dust2,108,0.9763235996769329,0.9950200598638863,0.05084592476240184,0.9668520352076516,0,0
khaN,Inferno,61,0.9884459541231683,0.9671608591940445,0.8352119421206006,0.10049207838195884,0,0
khaN,Mirage,94,0.9843823827435044,0.9777451737308407,0.3270326774259384,0.1091404843356612,0,0
Furlan,Ancient,43,0.9633574012952811,0.9645160096055508,0.18376042061388098,0.20236112140738294,0,0
Furlan,Anubis,46,0.9546301052909151,0.8673652724220688,0.07084563282045064,8.982634776728921e-05,0,1
Furlan,Dust2,44,0.9825753931397768,0.9847739310650269,0.736668511269277,0.820840074410585,0,0
huNter-,Ancient,85,0.9830506137805669,0.9649977508530545,0.3291034698992855,0.020838640010103913,0,1
huNter-,Anubis,52,0.9799444637888112,0.9906859532046911,0.5234679117051415,0.9552770350694969,0,0
huNter-,Dust2,77,0.9900251013345003,0.9736846034961701,0.8150606377454932,0.1104233499209123,0,0
huNter-,Inferno,87,0.9803666091656116,0.9869992534187678,0.20930923631580256,0.5392906020180932,0,0
huNter-,Mirage,71,0.9562028007500528,0.9836975363258407,0.014503920831354575,0.48700948540578826,1,0
huNter-,Nuke,46,0.9712955579210818,0.957716493394545,0.30923527650819516,0.09341506942597683,0,0
roeJ,Ancient,69,0.9690227642363881,0.9707108643234335,0.08426485633133113,0.10470554898700535,0,0
roeJ,Anubis,46,0.973984036631216,0.9689222216581341,0.38616599015782677,0.2525127787784289,0,0
roeJ,Inferno,68,0.9798130323733729,0.9791262847622679,0.33707892895362135,0.31097908654278056,0,0
roeJ,Nuke,48,0.9739396184354309,0.9665655078905692,0.35772290159369585,0.18548352286727793,0,0
Ro1f,Ancient,110,0.9776520239833054,0.9890368378212063,0.061302478492087885,0.5176303508691876,0,0
Ro1f,Anubis,95,0.9880510456975788,0.967583579577744,0.5495288260625109,0.01861268622905925,0,1
Ro1f,Dust2,64,0.9694065252289044,0.9797942439869638,0.11265376316570191,0.37635319096781306,0,0
Ro1f,Inferno,100,0.9823210742190192,0.9889347821643255,0.20074261788316355,0.5794488494838804,0,0
Ro1f,Mirage,166,0.9864910724356827,0.9894609093124139,0.10949470159362812,0.2535283541227912,0,0
Ro1f,Nuke,77,0.9706605788693278,0.9825771796909109,0.071855422263818,0.37347256817006036,0,0
z1Nny,Ancient,69,0.9787328935046883,0.9784365089812126,0.28782216201596333,0.27765213760377716,0,0
z1Nny,Inferno,45,0.9866380495643072,0.9565696545281777,0.876876595669164,0.09033979473337012,0,0
z1Nny,Mirage,45,0.9710919181891177,0.985991256758255,0.3170333548272014,0.8552754735709605,0,0
z1Nny,Nuke,78,0.9787415568118694,0.9591868240131474,0.21729412727342995,0.01360552418499955,0,1
t3ns1on,Ancient,75,0.9713644159171653,0.9857844181551726,0.08691897158234213,0.567065687308629,0,0
t3ns1on,Anubis,82,0.9840363286605897,0.9681218140110709,0.4031806304509214,0.038984186651759865,0,1
t3ns1on,Dust2,54,0.9687268104920261,0.9719643447272414,0.16934542789723073,0.23495156585242366,0,0
t3ns1on,Inferno,80,0.9672987495317472,0.962435402274145,0.038232917031319855,0.018976427737342205,1,1
t3ns1on,Nuke,64,0.9747567061029562,0.9888535044456567,0.21282617789351965,0.834442458604737,0,0
reck,Ancient,89,0.9853462288308111,0.9526590647705058,0.41821381935198254,0.0026252895016828787,0,1
reck,Anubis,60,0.9783833086156354,0.9608252290104867,0.3640496230970137,0.05163278135669314,0,0
reck,Dust2,60,0.9718443872479539,0.946658153626321,0.17949178591398945,0.010878286751819026,0,1
reck,Inferno,52,0.979149117955939,0.9881346568531596,0.4903176066240075,0.881164594226116,0,0
reck,Mirage,58,0.9763833880999949,0.9558304448106809,0.3159688353944843,0.03393585674970258,0,1
alex,Ancient,109,0.9835076980889822,0.972205719961514,0.19797908348909132,0.022101384803086554,0,1
alex,Inferno,82,0.9836477585983477,0.9752759818975357,0.3828934106700542,0.11410814026347105,0,0
alex,Mirage,78,0.9650246988361789,0.9797689280457035,0.030690988217811327,0.2504788157408673,1,0
alex,Nuke,96,0.9868245714333977,0.9543911647869037,0.45580491580253785,0.00212153475228621,0,1
m0NESY,Ancient,81,0.9853379474107625,0.9756866280791924,0.48549973022079035,0.12604156155566854,0,0
m0NESY,Anubis,47,0.9779745423469824,0.970540076172779,0.5113230689277639,0.2777346269011498,0,0
m0NESY,Dust2,74,0.9797992600849624,0.9247974013572048,0.2830310467915006,0.0002894017594911917,0,1
m0NESY,Inferno,86,0.9758054926639587,0.962556922345928,0.10622413145278486,0.013636742300507156,0,1
m0NESY,Mirage,74,0.9836217835551198,0.959417974434663,0.45372491586019703,0.01805521469869482,0,1
m0NESY,Nuke,78,0.979212123074435,0.9915949711965417,0.2319658365029984,0.8941520748206371,0,0
Vegi,Ancient,48,0.9805988047207516,0.9828246725959916,0.6038140421203979,0.6993353066247947,0,0
Vegi,Anubis,45,0.916895412746376,0.9790545777473382,0.0033238041711184454,0.5819351220654635,1,0
Vegi,Nuke,47,0.955814231572938,0.9746378980974175,0.07339901730436539,0.3930659036480908,0,0
oz1k,Ancient,62,0.9856241982119289,0.9779234837884769,0.682895626250705,0.326150649369347,0,0
oz1k,Dust2,98,0.9904777872952198,0.9612031814784809,0.7157909882397571,0.005505657958104269,0,1
oz1k,Inferno,45,0.9743606013257311,0.9674988767585183,0.4122707370480737,0.23444077221346116,0,0
oz1k,Mirage,54,0.9873099444122341,0.9784566877925965,0.8353363890595764,0.4370977127271931,0,0
ropz,Ancient,47,0.9623330690354668,0.9804701994361898,0.1331190802712084,0.611761946076914,0,0
ropz,Anubis,42,0.9893182253154124,0.9774436315929848,0.959099162907162,0.5646153845227273,0,0
ropz,Dust2,75,0.9912441962307663,0.9726780419607077,0.8900717021865321,0.1042944114219867,0,0
