player,map,N,lambda,VMR,Disp_Stat,P_disp,Chi_stat,P_chi,n_bins,reject_disp,reject_chi
Staehr,Ancient,82,6.097560975609756,1.6019753086419752,129.76,0.0009519053799153037,10.092715870401094,0.12080146309289964,8,1,0
Staehr,Dust2,53,5.283018867924528,1.6699175824175825,86.83571428571429,0.0034895808535508606,12.033309311906462,0.03433420556169282,7,1,1
Staehr,Inferno,72,6.041666666666667,1.5126760563380282,107.39999999999999,0.006884103592917518,11.715075764795033,0.06863544689876558,8,1,0
Staehr,Mirage,85,5.105882352941176,1.4690037305244679,123.3963133640553,0.006675055637736033,3.963951577268406,0.6815549070111145,8,1,0
Staehr,Nuke,85,4.117647058823529,1.3265306122448979,111.42857142857143,0.04862158491308534,7.9877722967799665,0.156910809051512,7,1,0
Vexite,Ancient,60,4.933333333333334,1.1122308749427392,65.62162162162161,0.5163260440690725,7.185540089475359,0.2072031252626547,7,0,0
Vexite,Anubis,57,5.087719298245614,0.9145320197044335,51.21379310344828,0.687452079831512,2.780163134181613,0.733833170086987,7,0,0
Vexite,Inferno,55,6.127272727272727,1.0581382569513131,57.13946587537091,0.7185975204528833,8.229283020771453,0.22178215327871148,8,0,0
Vexite,Mirage,44,4.5,1.2248062015503876,52.666666666666664,0.2965509458965947,7.059441593919059,0.13278015430396675,6,0,0
CacaNito,Ancient,92,4.934782608695652,0.9878491552500365,89.89427312775332,0.9738311501568935,3.68682631847393,0.7189698792409731,8,0,0
CacaNito,Anubis,55,4.509090909090909,1.2146057347670254,65.58870967741937,0.2682117627225415,4.03317173363382,0.401535158076862,6,0,0
CacaNito,Inferno,50,5.18,1.352848475297455,66.2895752895753,0.10083968960256488,3.177880729064881,0.6725835236881339,7,0,0
CacaNito,Mirage,90,5.222222222222222,1.7159933062395407,152.72340425531914,6.193442104489623e-05,10.454954055451063,0.1067545527564609,8,1,0
SaMey,Ancient,120,4.575,1.3286035725765717,158.10382513661202,0.01914440551429141,10.403850262711263,0.16681914928698086,9,1,0
SaMey,Anubis,84,4.107142857142857,1.0796228391828182,89.60869565217392,0.5813878821698788,6.082567206055324,0.29826749436130945,7,0,0
SaMey,Dust2,59,5.711864406779661,1.3707152358538832,79.50148367952522,0.06395549734481307,5.591986791710867,0.34796458932380414,7,0,0
SaMey,Inferno,57,4.614035087719298,1.453286257468767,81.38403041825096,0.029977674188127017,10.11662017359573,0.0719975030258702,7,1,0
SaMey,Mirage,107,4.392523364485982,1.3863910076274588,146.95744680851064,0.010473085637817158,8.257348924007662,0.21984907188856906,8,1,0
SaMey,Nuke,143,3.888111888111888,1.025534501975884,145.6258992805755,0.8003900384825964,3.9739551946849523,0.6802011473131477,8,0,0
ayuki,Ancient,45,6.555555555555555,0.9745762711864407,42.8813559322034,0.9609354568246957,3.9341860463463245,0.5589300085408143,7,0,0
HooXi,Ancient,50,5.82,1.905393085069079,93.36426116838487,0.00027527559510944936,8.30296733040115,0.1403100304795593,7,1,0
HooXi,Inferno,49,7.36734693877551,1.1520083102493077,55.29639889196676,0.43699974533215785,10.824224485724985,0.09396329078371086,8,0,0
HooXi,Mirage,45,4.7555555555555555,1.5212404418011898,66.93457943925235,0.028962501911605258,6.662963502846512,0.15480762497788544,6,1,0
HooXi,Nuke,62,4.532258064516129,1.7413803162009225,106.22419928825627,0.0005989923054525486,11.121504762869069,0.04902341833378288,7,1,1
detr0ittJ,Ancient,53,4.679245283018868,2.2667493796526053,117.87096774193547,1.013082342074116e-06,5.988281647174776,0.3073608358468657,7,1,0
detr0ittJ,Anubis,56,3.9285714285714284,1.248264462809917,68.65454545454544,0.20411878789464785,5.5865804507970145,0.3485453924519012,7,0,0
detr0ittJ,Dust2,84,5.892857142857143,1.2308871851040526,102.16363636363637,0.15069872132203183,6.396237906767518,0.4943173626199122,9,0,0
detr0ittJ,Inferno,83,4.843373493975903,1.3369129959956316,109.6268656716418,0.04501671045097233,2.1884486700886123,0.8225027247589778,7,1,0
detr0ittJ,Mirage,60,4.416666666666667,0.9385992964502716,55.377358490566024,0.7803735434260056,2.1934429421697494,0.7002299131209966,6,0,0
detr0ittJ,Nuke,84,3.0357142857142856,1.305315379163714,108.34117647058825,0.06478323459634218,2.441062640936219,0.6552196083116978,6,0,0
misutaaa,Ancient,106,5.5754716981132075,1.544001289178954,162.12013536379018,0.0005883175095452406,12.7275859835637,0.07903050684223288,9,1,0
misutaaa,Anubis,63,5.190476190476191,1.0183486238532107,63.13761467889907,0.8718050680780766,9.51541660182719,0.1465985157404336,8,0,0
misutaaa,Dust2,89,4.831460674157303,1.5534355179704016,136.70232558139534,0.0013684154446284274,12.136118976449058,0.059000143371875764,8,1,0
misutaaa,Inferno,61,5.409836065573771,1.5365656565656565,92.19393939393939,0.009527583270825346,4.111564337170659,0.661581685553507,8,1,0
misutaaa,Nuke,63,4.507936507936508,1.008064516129032,62.499999999999986,0.9166492439076136,2.299832663175475,0.8062914468305025,7,0,0
flameZ,Anubis,44,5.4772727272727275,0.9891923188265945,42.53526970954356,0.9826577424270375,1.2821545800366239,0.8643959154350425,6,0,0
flameZ,Dust2,79,5.037974683544304,0.8420306661512692,65.678391959799,0.3223191317972057,7.099683229823458,0.31172691492016213,8,0,0
flameZ,Inferno,90,5.933333333333334,1.131675293523545,100.71910112359551,0.37238521291606225,2.3287600913008037,0.9394305701178328,9,0,0
flameZ,Mirage,86,6.058139534883721,1.3257988032065033,112.6928982725528,0.04781094384050212,13.798173321889454,0.05488970338792816,9,1,0
flameZ,Nuke,82,4.475609756097561,1.1156524371783227,90.36784741144415,0.4464603687280725,2.6044789057247977,0.8565964563550524,8,0,0
relaxxie,Ancient,60,5.6,1.2239709443099276,72.21428571428572,0.2315827835286537,2.875524721178658,0.7191690431055799,7,0,0
relaxxie,Dust2,103,5.233009708737864,1.5594965258830804,159.0686456400742,0.0005171248421302339,17.95541228533834,0.006344593398408175,8,1,1
relaxxie,Mirage,64,4.984375,1.4743991640543364,92.8871473354232,0.016984133472122853,4.575131955931288,0.4698944040753349,7,1,0
relaxxie,Nuke,69,4.956521739130435,1.070691434468524,72.80701754385964,0.645699406943353,1.787533885624198,0.8776926635324963,7,0,0
j3kie,Ancient,113,4.734513274336283,1.354105473965287,151.65981308411216,0.014994152769933386,8.61714049015753,0.2813244504828642,9,1,0
j3kie,Anubis,104,4.961538461538462,1.1502972830586287,118.48062015503875,0.2824831198462673,7.71043746691767,0.26009415645405826,8,0,0
j3kie,Dust2,98,4.336734693877551,1.4450697392359007,140.17176470588237,0.005474368878072529,7.981230157611699,0.2394816610553382,8,1,0
j3kie,Inferno,127,4.267716535433071,1.1509400808293795,145.0184501845018,0.23637860074455921,8.310232759548802,0.21624444103698,8,0,0
j3kie,Nuke,112,4.232142857142857,1.3878435397422741,154.05063291139243,0.008635619073184818,13.243246990804911,0.039331740288524514,8,1,1
CSO,Ancient,44,4.568181818181818,1.144394307532107,49.2089552238806,0.47713698042811886,4.887598742305704,0.29902621289600206,6,0,0
xureba,Ancient,79,5.518987341772152,1.2816396142084217,99.9678899082569,0.09517294025962583,5.391954256518013,0.49461046355343596,8,0,0
xureba,Anubis,69,5.304347826086956,1.1771938283510128,80.04918032786887,0.30103680246179276,7.732426979742467,0.2583690978105711,8,0,0
xureba,Dust2,91,5.406593406593407,1.3521680216802168,121.69512195121952,0.029299759623353742,8.566424554368801,0.1994700374758869,8,1,0
xureba,Inferno,60,4.416666666666667,1.2225775503677645,72.1320754716981,0.2341746242872737,2.2317304006840923,0.6932244896795708,6,0,0
xureba,Mirage,83,5.27710843373494,0.8010357500835285,65.68493150684932,0.18787691953372626,7.742392861505536,0.2575902909151481,8,0,0
xureba,Nuke,60,3.9,1.2837896566710125,75.74358974358974,0.13998025745501352,3.6965122845922913,0.5938830715391271,7,0,0
xeedo,Ancient,54,6.814814814814815,1.2241591468416735,64.8804347826087,0.25380283563540507,1.908083382447809,0.861711691658456,7,0,0
xeedo,Dust2,93,5.913978494623656,1.266916996047431,116.55636363636364,0.08568417678043184,12.096663068499787,0.09742452738205067,9,0,0
xeedo,Mirage,57,5.052631578947368,1.1904761904761905,66.66666666666666,0.31139277870583276,7.231008977578353,0.20401896217045792,7,0,0
xeedo,Nuke,62,4.741935483870968,1.4653730344596858,89.38775510204083,0.02077620064873227,3.4089954343145936,0.6372002622346072,7,1,0
majky,Ancient,52,5.365384615384615,2.01019045611076,102.51971326164876,5.11117669791299e-05,13.13862613755667,0.0221137511315118,7,1,1
majky,Dust2,54,4.37037037037037,1.1854812919731375,62.83050847457629,0.33438430571778605,1.7477180773269914,0.7820324233805214,6,0,0
majky,Inferno,69,4.478260869565218,1.4029126213592231,95.39805825242718,0.031750808897607535,5.6651339861606616,0.34017782885965897,7,1,0
majky,Mirage,64,4.515625,1.4411490086230572,90.7923875432526,0.0249965539669078,3.9912849807352098,0.5506713863942436,7,1,0
majky,Nuke,68,4.147058823529412,1.6430612892981897,110.08510638297871,0.0014325717621989761,4.8076538770849275,0.43980265133932706,7,1,0
Moseyuh,Ancient,57,5.0701754385964914,1.471206129510628,82.38754325259517,0.02481894734941576,9.177223400238617,0.1022007045926639,7,1,0
Moseyuh,Inferno,77,5.415584415584416,1.658715133156633,126.06235011990411,0.0005443128882996935,16.15042433530121,0.012968952365854472,8,1,1
Moseyuh,Mirage,65,4.723076923076923,1.458978013029316,93.37459283387622,0.019427484612407345,5.409774817118647,0.3679408521278649,7,1,0
Moseyuh,Nuke,46,4.239130434782608,0.7987464387464387,35.94358974358974,0.3391564784810301,6.371015358313862,0.17310106343690773,6,0,0
junior,Ancient,118,5.110169491525424,1.3741123442615981,160.77114427860698,0.009080382523265675,13.02391491781611,0.042657744188650024,8,1,1
junior,Dust2,95,5.705263157894737,1.4427651723325745,135.619926199262,0.0064600648341987385,9.192831773496225,0.23910648186953495,9,1,0
junior,Inferno,58,5.241379310344827,1.3610341643582642,77.57894736842105,0.07258285949632631,7.138080176988473,0.21057200018762973,7,0,0
junior,Mirage,120,4.691666666666666,1.3927638550979895,165.73889875666077,0.00602055195485736,17.77882505932105,0.01300876496966568,9,1,1
junior,Nuke,79,4.3924050632911396,1.3917830488435674,108.55907780979827,0.025308527774344104,11.880932869703285,0.06467837151041254,8,1,0
bekker,Ancient,48,5.270833333333333,1.5076107980825837,70.85770750988144,0.02763561804273489,3.3752645791401914,0.4970962183658105,6,1,0
Boye,Ancient,45,5.866666666666666,1.4457644628099175,63.613636363636374,0.05600721650898482,5.272809294453097,0.38350126731097506,7,0,0
Boye,Nuke,45,4.2444444444444445,1.4366968110423612,63.21465968586389,0.060440677389396284,4.089857078854076,0.39398158604253253,6,0,0
Burmylov,Ancient,95,4.105263157894737,1.5210038188761592,142.97435897435895,0.0017028135207663,7.30411176287223,0.29363637902950324,8,1,0
Burmylov,Anubis,50,3.44,1.4019933554817279,68.69767441860466,0.06611621094734976,6.609565660860748,0.15801644964200118,6,0,0
Burmylov,Dust2,75,4.84,1.2454768818405182,92.16528925619835,0.14993341716414355,4.062847847401569,0.5404033759327237,7,0,0
Burmylov,Inferno,81,4.098765432098766,1.2601656626506024,100.81325301204818,0.11576603358571298,6.3991502870482595,0.2692933816144363,7,0,0
Burmylov,Nuke,105,3.657142857142857,1.5871394230769231,165.0625,0.00025935602959644116,10.677455475984942,0.05816370796743132,7,1,0
Jeorge,Ancient,82,5.512195121951219,0.8969736698350268,72.65486725663716,0.5308178500195474,5.151327624424301,0.5245560544374412,8,0,0
Jeorge,Dust2,93,5.774193548387097,1.2240709254311393,112.61452513966482,0.1422703915581297,10.936946825799238,0.14139311581167832,9,0,0
Jeorge,Inferno,71,5.450704225352113,1.22547065337763,85.7829457364341,0.19344241623799246,13.865740909215589,0.03117240230165318,8,0,1
Jeorge,Mirage,136,5.977941176470588,1.1708897088970889,158.070110701107,0.17031347892884557,11.067309406126896,0.19791444815314474,10,0,0
Jeorge,Nuke,71,5.126760563380282,1.2256671899529041,85.79670329670328,0.19309476018505795,2.29167113212851,0.8910157063377784,8,0,0
FL4MUS,Ancient,74,5.743243243243243,1.3693795326349718,99.96470588235293,0.03960678755060944,5.529339943591783,0.4779176909949724,8,1,0
