map,Total Sample Size,#_Cells,Rejected_disp_%,Rejected_chi_%,Mean_VMR,Median_VMR,Overdispersed_%
Ancient,23125,270,53.333333333333336,16.666666666666664,1.3910220142994865,1.3661207073850445,95.92592592592592
Anubis,10439,166,44.57831325301205,13.855421686746988,1.3660402992009253,1.3309767155921,88.55421686746988
Dust2,15025,217,57.6036866359447,17.050691244239633,1.4551400485045285,1.4427651723325745,95.39170506912443
Inferno,13615,187,59.893048128342244,24.06417112299465,1.4498963967835476,1.4012041598248497,98.93048128342245
Mirage,19198,241,47.71784232365145,13.278008298755188,1.3243620901000488,1.3256997804610318,92.5311203319502
Nuke,17878,220,39.09090909090909,15.909090909090908,1.29818383545695,1.2618688695740474,90.45454545454545
