,game_id,map,team,Round_Win_%,Rank_Diff
106,183379,Anubis,Spirit,0.3157894736842105,-16
107,184266,Anubis,Spirit,0.5416666666666667,-13
108,184907,Anubis,Spirit,0.4347826086956522,-5
109,187241,Anubis,Spirit,0.4482758620689655,2
110,187287,Anubis,Spirit,0.5277777777777778,-2
111,187413,Anubis,Spirit,0.2777777777777778,2
112,188400,Anubis,Spirit,0.4583333333333333,-35
113,189518,Anubis,Spirit,0.5909090909090908,-9
114,190550,Anubis,Spirit,0.8125,-21
115,191111,Anubis,Spirit,0.4666666666666667,-12
116,191665,Anubis,Spirit,0.4583333333333333,-16
117,195257,Anubis,Spirit,0.4347826086956522,-3
118,195932,Anubis,Spirit,0.6190476190476191,-5
119,196417,Anubis,Spirit,0.6842105263157895,-2
120,201382,Anubis,Spirit,0.5416666666666667,-4
121,218198,Anubis,Spirit,0.6190476190476191,-3
122,221913,Anubis,Spirit,0.65,-13
123,222033,Anubis,Spirit,0.5652173913043479,-4
124,223488,Anubis,Spirit,0.1875,1
125,226556,Anubis,Spirit,0.2352941176470588,5
126,176730,Dust2,Spirit,0.3157894736842105,2
127,177997,Dust2,Spirit,0.5416666666666666,-4
128,178164,Dust2,Spirit,0.5909090909090909,2
129,192180,Dust2,Spirit,0.3157894736842105,-3
130,195628,Dust2,Spirit,0.7647058823529411,-54
131,194823,Dust2,Spirit,0.5416666666666666,-6
132,198727,Dust2,Spirit,0.8666666666666667,-19
133,212707,Dust2,Spirit,0.35,2
134,213614,Dust2,Spirit,0.6842105263157895,2
135,213712,Dust2,Spirit,0.5416666666666666,5
136,215493,Dust2,Spirit,0.3809523809523809,4
137,226801,Dust2,Spirit,0.2777777777777778,8
138,228414,Dust2,Spirit,0.6842105263157895,-105
139,228489,Dust2,Spirit,0.5416666666666666,-2
140,175476,Dust2,Spirit,0.6190476190476191,-19
141,177899,Dust2,Spirit,0.65,1
142,178247,Dust2,Spirit,0.5909090909090908,-1
143,179987,Dust2,Spirit,0.8125,-48
144,180462,Dust2,Spirit,0.4571428571428572,-10
145,182607,Dust2,Spirit,0.5416666666666667,-12
146,184332,Dust2,Spirit,0.8125,-34
147,184505,Dust2,Spirit,0.2777777777777778,2
148,184888,Dust2,Spirit,0.8125,-5
149,184994,Dust2,Spirit,0.7222222222222222,-7
150,185083,Dust2,Spirit,0.409090909090909,-2
151,187346,Dust2,Spirit,0.7222222222222222,-9
152,187415,Dust2,Spirit,0.35,2
153,188387,Dust2,Spirit,0.9285714285714286,-19
154,188433,Dust2,Spirit,0.65,-38
155,189117,Dust2,Spirit,0.3157894736842105,-4
156,189281,Dust2,Spirit,0.65,-3
157,189521,Dust2,Spirit,0.5416666666666667,-9
158,189697,Dust2,Spirit,0.5416666666666667,-2
159,190554,Dust2,Spirit,0.9285714285714286,-21
160,191082,Dust2,Spirit,0.5909090909090908,-2
161,191121,Dust2,Spirit,0.8125,-12
162,191536,Dust2,Spirit,0.7647058823529412,-12
163,191601,Dust2,Spirit,0.5416666666666667,-2
164,191645,Dust2,Spirit,0.6190476190476191,-8
165,192060,Dust2,Spirit,0.5333333333333333,-2
166,194653,Dust2,Spirit,0.9285714285714286,-20
167,195386,Dust2,Spirit,0.65,-7
168,195792,Dust2,Spirit,0.8125,-7
169,196413,Dust2,Spirit,0.65,-2
170,198689,Dust2,Spirit,0.4285714285714286,-2
171,199427,Dust2,Spirit,0.7647058823529412,-37
172,199513,Dust2,Spirit,0.65,-13
173,199839,Dust2,Spirit,0.5416666666666667,-37
174,199941,Dust2,Spirit,0.7222222222222222,-13
175,201320,Dust2,Spirit,0.8125,-17
176,201337,Dust2,Spirit,0.65,-27
177,201850,Dust2,Spirit,0.409090909090909,1
178,203868,Dust2,Spirit,0.6190476190476191,-1
179,204327,Dust2,Spirit,0.4347826086956522,-30
180,204494,Dust2,Spirit,0.65,-8
181,206101,Dust2,Spirit,0.7222222222222222,-25
182,206367,Dust2,Spirit,0.5714285714285715,-14
183,206439,Dust2,Spirit,0.4482758620689655,-8
184,209773,Dust2,Spirit,0.6842105263157895,-22
185,209931,Dust2,Spirit,0.6190476190476191,-3
186,212617,Dust2,Spirit,0.3157894736842105,3
187,212678,Dust2,Spirit,0.5517241379310345,-11
188,213523,Dust2,Spirit,0.4482758620689655,3
189,215010,Dust2,Spirit,0.7222222222222222,-6
190,215408,Dust2,Spirit,0.5714285714285715,3
191,216853,Dust2,Spirit,0.7222222222222222,-30
192,217940,Dust2,Spirit,0.5517241379310345,-6
193,218073,Dust2,Spirit,0.8125,-1
194,218212,Dust2,Spirit,0.5517241379310345,-3
195,218499,Dust2,Spirit,0.6190476190476191,5
196,218542,Dust2,Spirit,0.6190476190476191,3
197,222644,Dust2,Spirit,0.3157894736842105,-6
198,223620,Dust2,Spirit,0.6842105263157895,-27
199,226505,Dust2,Spirit,0.5416666666666667,-13
200,226618,Dust2,Spirit,0.5416666666666667,-3
201,226665,Dust2,Spirit,0.7222222222222222,2
202,226713,Dust2,Spirit,0.65,5
203,228622,Dust2,Spirit,0.6190476190476191,3
204,228972,Dust2,Spirit,0.6842105263157895,-6
205,229056,Dust2,Spirit,0.8125,-5
206,229132,Dust2,Spirit,0.5714285714285715,1
207,165135,Mirage,Spirit,0.4090909090909091,13
208,168018,Mirage,Spirit,0.7222222222222222,6
209,169832,Mirage,Spirit,0.8666666666666667,-10
210,176738,Mirage,Spirit,0.4583333333333333,2
