player,map,N,Stats_kd,Stats_kast,P_kd,P_kast,reject_kd,reject_kast
CutzMeretz,Ancient,107,0.9764335432996679,0.9731658803377694,0.05390219516262089,0.02889673566529141,0,0
CutzMeretz,Anubis,52,0.9607320373474455,0.977489211808298,0.08419822276462607,0.42543590080923044,0,0
CutzMeretz,Dust2,88,0.9825802660218869,0.9749185956974576,0.2854849800312777,0.08540745958898782,0,0
CutzMeretz,Inferno,42,0.9451221305721005,0.9653842360342711,0.04327740002893898,0.22926156438784023,1,0
CutzMeretz,Mirage,120,0.9810692501388977,0.9799658924387703,0.08952628211288222,0.07070047819761856,0,0
CutzMeretz,Nuke,94,0.9729284143790887,0.9808137183558386,0.048028943856259554,0.183235339885572,0,0
ammar,Ancient,73,0.9772005772026507,0.9828594383919727,0.2080979807064794,0.4241978699787597,0,0
ammar,Dust2,82,0.9854596206603775,0.9817590913821908,0.48395817291508303,0.29538764460083233,0,0
ammar,Inferno,42,0.9534560996414422,0.9777086713530808,0.08593676965310942,0.5744160108487643,0,0
ammar,Mirage,80,0.982201560326809,0.9505153181163513,0.33043174173760503,0.0036895609729659697,0,0
bluewh1te,Ancient,97,0.9799197552791515,0.9812381379866507,0.14380032345904653,0.18062098501382218,0,0
bluewh1te,Anubis,49,0.9720010128120598,0.9498480744464577,0.29036548110391064,0.036412805044321976,0,1
bluewh1te,Dust2,66,0.9752092401590158,0.9790931719164172,0.20820968977952303,0.32875738856885145,0,0
bluewh1te,Inferno,79,0.9839415637439421,0.9814911160202944,0.4244321386292732,0.3080026626026176,0,0
bluewh1te,Mirage,80,0.9808456827286322,0.9750564558388473,0.2743911627555003,0.11935333130927545,0,0
Dawy,Ancient,92,0.9818628530283616,0.9870415297254036,0.230126345520214,0.5015957375020437,0,0
Dawy,Anubis,44,0.9766370139586865,0.9820015793409088,0.5049467391051076,0.713803920285677,0,0
Dawy,Dust2,80,0.981869513270282,0.9535862608078062,0.31589045767051427,0.005560815407702955,0,0
Dawy,Mirage,79,0.9888905676013131,0.9781341224843766,0.7311020334561362,0.19311727938835788,0,0
Dawy,Nuke,76,0.9808271354206773,0.9668048884423371,0.3056580924037845,0.04387049006358772,0,0
Vacancy,Ancient,73,0.9781494269726603,0.9891891861218555,0.23564583979831732,0.7920373144730606,0,0
Vacancy,Anubis,54,0.9715231476297742,0.9399520651207119,0.22479839398878548,0.009277603278069455,0,1
Vacancy,Nuke,83,0.9872379989360394,0.9773349689693343,0.5887350720590849,0.1499229519712627,0,0
Rossi,Ancient,46,0.974501252146016,0.9650713540446189,0.4025657355299892,0.18022763803895236,0,0
dgt,Ancient,76,0.9790153723190959,0.9846538968915242,0.24025933815189204,0.491308455076264,0,0
dgt,Dust2,76,0.9735446508390045,0.9890787354467566,0.1128302999562717,0.7646573912140484,0,0
dgt,Inferno,64,0.9854727729918114,0.9897073795102306,0.6549648156838781,0.8737497685273026,0,0
dgt,Mirage,59,0.9810783336823998,0.9843972990063694,0.487390246961211,0.6493970682711788,0,0
dgt,Nuke,105,0.9888405059359052,0.978474266407995,0.5364187940716628,0.08536654848933617,0,0
bajmi,Ancient,113,0.9862823432077783,0.9810625232556885,0.30614328235974575,0.10992670166490931,0,0
bajmi,Anubis,78,0.9849232027293623,0.980413449797185,0.4882009584643167,0.273538969310985,0,0
bajmi,Dust2,56,0.9823935111669752,0.9768684876361143,0.5841511305603374,0.3544213859112235,0,0
bajmi,Inferno,67,0.9639702618019083,0.980496454453754,0.04939829694208203,0.3747200979765578,0,0
bajmi,Mirage,93,0.9836288759579778,0.9832458587630996,0.29724423294884295,0.27979800731789756,0,0
bajmi,Nuke,140,0.9895752937367087,0.9760231279897449,0.3810069742059268,0.014471463930404377,0,0
flayy,Ancient,96,0.9718913327781478,0.9684039865869242,0.03687503680411095,0.02032779779974319,0,0
flayy,Anubis,54,0.9619684402135696,0.9711628025790308,0.08442539384879205,0.2168059725288221,0,0
flayy,Dust2,58,0.9659146284338674,0.9893576894173423,0.10234046567897187,0.8917288508010796,0,0
flayy,Mirage,66,0.9893489899232121,0.9798702881178951,0.84574260021184,0.35895587377364335,0,0
flayy,Nuke,102,0.9901323383131309,0.982258392725556,0.662153423967224,0.188221085798763,0,0
Zyphon,Ancient,108,0.9837069641647189,0.9697303452073928,0.21066310808592215,0.014481890301948233,0,0
Zyphon,Dust2,44,0.9710722528589042,0.9867960250592034,0.3300449943260349,0.8887969899197588,0,0
Zyphon,Inferno,115,0.9852828420323938,0.9719985407403798,0.24273524514820222,0.01636572965488406,0,0
Zyphon,Mirage,104,0.9887768731822401,0.9802292778869045,0.5384535704053587,0.12256576737765151,0,0
Zyphon,Nuke,150,0.986091544053146,0.9749526770735581,0.13756173643906833,0.007654614867986673,0,0
kL1o,Ancient,81,0.9818504901215197,0.9606045291115458,0.3070538664805311,0.013779136718177314,0,0
kL1o,Anubis,52,0.9754682356743446,0.9762143591599329,0.35502798261858926,0.37989416363308337,0,0
kL1o,Dust2,89,0.9740761620224251,0.9811079370387503,0.07161518866021986,0.22171283256923446,0,0
kL1o,Inferno,44,0.954110212907666,0.9526428691417368,0.07832415632789179,0.06903038402392117,0,0
kL1o,Mirage,43,0.9552946239455262,0.9776791631359556,0.09316983960031816,0.558262901146647,0,0
card,Ancient,62,0.9849469833674678,0.9796980510918931,0.6466912635452613,0.39373310152247043,0,0
card,Dust2,43,0.9788771917694272,0.9789271838353362,0.6037894790749625,0.6057182036480111,0,0
card,Mirage,45,0.9845455449087324,0.9749813854417229,0.8026646308085877,0.4325985578692845,0,0
card,Nuke,50,0.9669305443191828,0.9850930897835996,0.17314031319393275,0.7756010693455913,0,0
slaxz-,Ancient,120,0.9908124373095019,0.9605013578533169,0.6087244683495777,0.0013882766657057754,0,0
slaxz-,Anubis,67,0.9748480577567035,0.9843938667998886,0.19185319155908875,0.5652152785401849,0,0
slaxz-,Dust2,66,0.9898984620281638,0.9608748325121964,0.8714223160569159,0.035805062144629154,0,0
slaxz-,Inferno,84,0.9827768881918925,0.971564455821617,0.3242427734462615,0.05968064025484594,0,0
slaxz-,Mirage,87,0.9827725197565182,0.9846321461568277,0.3011688017968567,0.3937409345297903,0,0
maQuein,Ancient,55,0.9583537728510031,0.923563866956434,0.05442977836104105,0.0018325596789729734,0,1
maQuein,Dust2,75,0.9758071493543867,0.9455320053710438,0.16062039000278627,0.002857871203070471,0,1
maQuein,Mirage,51,0.9808783757507225,0.9705844662026268,0.5766558274381457,0.23384054391895026,0,0
maQuein,Nuke,60,0.9850869264374423,0.9778659138268596,0.6745503102539204,0.3450798575019025,0,0
z1k4,Ancient,96,0.9686466408928314,0.9773463948033533,0.0211802524874869,0.0949967531158114,0,0
z1k4,Dust2,66,0.9847603267525251,0.9868925098035277,0.5955729210540398,0.7151726600106452,0,0
z1k4,Nuke,50,0.9620918748701297,0.950263300863867,0.10877846959559351,0.034975696437270616,0,0
yAmi,Ancient,75,0.9857104546291442,0.9807549716049151,0.562605739262876,0.3112191447648541,0,0
yAmi,Inferno,57,0.9810984379499275,0.9661888557069995,0.5119309132201997,0.11125772506278842,0,0
yAmi,Nuke,56,0.9756056285670224,0.972108013094,0.312941482060788,0.2191168378410373,0,0
spinnie,Dust2,59,0.9652783892948293,0.9844934358429339,0.09031371342876021,0.6543171256577973,0,0
spinnie,Inferno,42,0.9718637632411242,0.9727088772314096,0.3806201479936742,0.4053647073711881,0,0
lampada,Ancient,52,0.9580684120561759,0.9713936725684109,0.06454961176407568,0.2418898294399176,0,0
raalz,Ancient,177,0.9775085819492798,0.9748556040693582,0.005774428143146866,0.0027129784937075683,0,0
raalz,Anubis,110,0.9898348410144402,0.9889476639667163,0.5842322592744624,0.5104281314388417,0,0
raalz,Dust2,118,0.9467543781449709,0.9816513971793148,0.00014422024240335818,0.10734469928159635,1,0
raalz,Inferno,131,0.9880535887790866,0.9723432434293836,0.31522892782215894,0.008879683536930439,0,0
raalz,Nuke,118,0.986728357140948,0.9952679190689611,0.3030295964139408,0.9634865378004122,0,0
nqz,Anubis,87,0.9762840375730477,0.9929115892996736,0.11034429751330765,0.9241980288105744,0,0
nqz,Dust2,74,0.969737816751197,0.9647205281662363,0.0727550997239791,0.036709216600849755,0,0
nqz,Inferno,88,0.9863874977214929,0.9775050004730906,0.4906722961057899,0.12926915802876215,0,0
nqz,Mirage,99,0.980979612602661,0.9884775454873631,0.16303094353068998,0.5513961462881369,0,0
nqz,Nuke,135,0.9922802671955818,0.9694130671546197,0.671803244536155,0.003917387328264773,0,0
swiz,Ancient,56,0.9774744083405769,0.9888199371083678,0.3758398662456528,0.88248160737295,0,0
swiz,Nuke,47,0.9689533152079716,0.9753757555366279,0.24163399404991637,0.41737938526173124,0,0
h1kaN,Mirage,42,0.968575723105685,0.933533916670766,0.295591102783743,0.01707844700412727,0,1
leen,Ancient,65,0.9801693542118093,0.9519388568725087,0.3813879791669198,0.013251035447102358,0,0
leen,Dust2,49,0.971348644837391,0.977651074989965,0.27379398896572876,0.47121490941378225,0,0
leen,Mirage,55,0.9680735120665209,0.9816672796951459,0.1507172864691005,0.562120322808494,0,0
leen,Nuke,62,0.9899442136852378,0.9810003386014008,0.8939169461468626,0.449694489947673,0,0
CSO,Ancient,44,0.9537022788410806,0.9810067176357786,0.07561990011896785,0.6738829893981647,0,0
j0w,Ancient,69,0.95835249155466,0.9709942269507299,0.021687554170299595,0.1085897952727517,0,0
j0w,Dust2,67,0.9569260657250267,0.9547043335570006,0.020771168942676055,0.015889801652913312,0,0
j0w,Mirage,64,0.9522643385804621,0.9880849997471904,0.014812796113273333,0.7960580108731987,0,0
lauNX,Ancient,90,0.983613131875994,0.9825091008887586,0.3179164395861116,0.268506937879901,0,0
