map,Total Sample Size,Rejected_kd_%,Rejected_kast_%
Ancient,19531,1.293103448275862,6.896551724137931
Anubis,8754,4.651162790697675,10.077519379844961
Dust2,12672,2.7472527472527473,8.791208791208792
Inferno,10943,3.289473684210526,9.868421052631579
Mirage,16193,4.0,6.0
Nuke,14916,3.225806451612903,8.064516129032258
