player,map,N,Stats_kd,Stats_kast,P_kd,P_kast,reject_kd,reject_kast
ksloks,Ancient,117,0.9864474261027035,0.9529584139323172,0.29244158169407564,0.0004333511376571439,0,0
ksloks,Anubis,70,0.9630739191001844,0.9824900504942157,0.03709318316980332,0.43530984437230585,0,0
ksloks,Dust2,76,0.9910268480629221,0.9354075116221406,0.8750554764460601,0.0007838914269306049,0,1
ksloks,Inferno,65,0.9855762930924873,0.9734844359859005,0.6508212674094577,0.1759520932497043,0,0
ksloks,Nuke,94,0.9869890522597508,0.9855527516988791,0.4822914791064338,0.3913098254449475,0,0
forsyy,Ancient,153,0.9885910258648888,0.9407456306290152,0.24779510606090827,4.931699918145054e-06,0,1
forsyy,Anubis,99,0.9802874535751831,0.9668290999124294,0.14427074029075865,0.013374155657153879,0,0
forsyy,Dust2,74,0.9872843394349722,0.9783995625710162,0.6685520537892629,0.2357599779987577,0,0
forsyy,Inferno,125,0.9890740335830498,0.9891063908066743,0.42463023940645217,0.42724101319024693,0,0
forsyy,Mirage,177,0.9919355354081046,0.9804603668070623,0.42843086273916087,0.013764239046332996,0,0
forsyy,Nuke,143,0.9838531046551048,0.9715840350367765,0.09116962436428594,0.004503725274654076,0,0
alpha,Ancient,77,0.9912643228694535,0.9644658325340276,0.882334770140536,0.029989913350603716,0,0
alpha,Dust2,70,0.9869261252528725,0.9843280993512425,0.681697657190635,0.5312028599855313,0,0
alpha,Mirage,79,0.9642374757844245,0.9848347126007567,0.025967885975369,0.47397941678913486,0,0
alpha,Nuke,68,0.9671902490264429,0.9760176881654281,0.07012069328455467,0.21346034700119604,0,0
Brehze,Ancient,55,0.9776427600963511,0.9815956868779846,0.3938592892732885,0.5588240640664294,0,0
Brehze,Anubis,43,0.9625038684120759,0.9376190942380979,0.17110811625789707,0.021399590810469264,0,1
Brehze,Mirage,42,0.9692279234857825,0.9654696212411505,0.3110566736144469,0.23084456519492164,0,0
L00m1,Ancient,67,0.9722769957613954,0.9679915110348214,0.1395797451898826,0.08165788354965248,0,0
L00m1,Dust2,58,0.9614694353944875,0.9877169438683668,0.06275707559157902,0.8231208463589332,0,0
L00m1,Inferno,46,0.9916739965644287,0.9651146985513075,0.9833509093285447,0.18092046450796118,0,0
L00m1,Mirage,91,0.9843913910538242,0.9791459207559795,0.3495096256272616,0.1524366893817211,0,0
L00m1,Nuke,56,0.9755067446415874,0.9717026938918571,0.30987153244308585,0.21007751985072848,0,0
Gizmy,Ancient,112,0.9752695996947152,0.9909958240754726,0.035509370355137515,0.6735835195678828,0,0
Gizmy,Anubis,56,0.9822514191214015,0.947927034332096,0.5774085091438849,0.017194959709967806,0,1
Gizmy,Dust2,93,0.9751943631341206,0.97763224700513,0.0734567043040401,0.11086467569401853,0,0
Gizmy,Mirage,109,0.9807953906416512,0.9817889164934682,0.11737456231506804,0.1423503134025862,0,0
Gizmy,Nuke,140,0.9864597568448624,0.9825299927752386,0.18579474806704432,0.0709028400052852,0,0
forkyz,Ancient,42,0.9731716081314082,0.9628387485402694,0.4194143629461422,0.18645244719379728,0,0
forkyz,Dust2,52,0.9708470615697713,0.9845482946439834,0.22943898820630726,0.7311532074561069,0,0
forkyz,Mirage,50,0.9723430018318593,0.9581745307677282,0.2875145709411576,0.07454215959467471,0,0
Markz,Dust2,42,0.978666583788393,0.9932450722036259,0.6103891460224679,0.99661095708834,0,0
Summer,Ancient,99,0.9852736271521597,0.989645172247749,0.33915464407421886,0.6428475492387928,0,0
Summer,Anubis,54,0.9671466563118245,0.9900246353810355,0.14403754394859125,0.9320350211165661,0,0
Summer,Dust2,73,0.966674353402272,0.9724004175016219,0.05045298238654915,0.10943751995716267,0,0
Summer,Inferno,83,0.9911042642236539,0.953170045820984,0.8453498365535547,0.004267686425285115,0,0
Summer,Mirage,76,0.9748379923163245,0.9922206495572586,0.1352080594523029,0.9282016181988231,0,0
Westmelon,Ancient,70,0.9783483760322395,0.9760033190072978,0.2661273877372117,0.1981646734385193,0,0
Westmelon,Anubis,56,0.9775695803124271,0.9805711736261882,0.3792940065730023,0.500431243773756,0,0
Westmelon,Dust2,92,0.9894885370797569,0.9813961485731849,0.6794434966558596,0.21344235050402838,0,0
Westmelon,Inferno,56,0.9672832430811868,0.9900316200374104,0.1318466284077821,0.9241792449380346,0,0
Westmelon,Nuke,64,0.9735973655058693,0.9849964347931867,0.18571399069215994,0.6289062694165295,0,0
anber,Ancient,43,0.9721947072095406,0.9575729643251356,0.3753167470889322,0.1129617297458454,0,0
anber,Nuke,52,0.9729884544005523,0.9418470276141596,0.28176086448243065,0.01332092045093539,0,1
Attacker,Inferno,53,0.9819030183127151,0.9852088368658362,0.5973830026253721,0.7511900730159333,0,0
Bukhavez,Nuke,49,0.9547641337246022,0.9636680720737826,0.0577243182615991,0.134089369531793,0,0
Botpa1,Mirage,53,0.9723048225577814,0.9504598412401468,0.2533459686512471,0.028167689169352708,0,0
KEi,Ancient,76,0.9806561616577936,0.945755382564021,0.2988912780284981,0.0027147264301349574,0,1
KEi,Dust2,43,0.9726932432816324,0.9698068079416502,0.3899058624646018,0.3113794499070055,0,0
KEi,Mirage,65,0.9817148039353965,0.9765478123776302,0.4498099281487534,0.2530071991436575,0,0
KEi,Nuke,78,0.9799136555879945,0.9810818398083299,0.2555019660561757,0.29938293988081305,0,0
insani,Ancient,93,0.9901612504577636,0.9761000742311485,0.7233199214084263,0.08560353379042851,0,0
insani,Anubis,90,0.9811313504915858,0.9787314288979007,0.21635552968025407,0.14717500425453534,0,0
insani,Inferno,79,0.9805771081665555,0.9722840017661414,0.27190572959455594,0.08293913031105843,0,0
insani,Mirage,85,0.9825062469869007,0.9910627969786066,0.3043637128976564,0.8326511052677901,0,0
insani,Nuke,100,0.9766924298903679,0.9907535540760264,0.07323124931657646,0.7253572382018779,0,0
mds,Dust2,47,0.9727682008899807,0.9728382901692622,0.33633897611332475,0.338339361001023,0,0
mds,Mirage,45,0.9711071602446927,0.981652898782905,0.31743161294473204,0.6870661895450765,0,0
mds,Nuke,56,0.9797234766194591,0.9632655317071873,0.4639044170033483,0.0859114839572877,0,0
ADDICT,Inferno,45,0.9846970143915862,0.9869527595691081,0.8084099434765857,0.8868658267781553,0,0
ADDICT,Mirage,66,0.9746931587547767,0.9376208035508156,0.19563845086142878,0.0024573471882211595,0,1
nut nut,Ancient,107,0.976392015346233,0.9762396811620087,0.053474362116577065,0.051934218181977736,0,0
nut nut,Anubis,46,0.9641587637329542,0.9868068481097935,0.16621488825759373,0.8752622438487406,0,0
nut nut,Dust2,53,0.9726576372085005,0.9563830643438783,0.2622053964844613,0.0509265883262075,0,0
nut nut,Inferno,110,0.9721642508717413,0.9692280862263898,0.020996505755957195,0.011997520007183562,0,0
nut nut,Mirage,72,0.982512831109525,0.9861041090219732,0.4167703245860834,0.6142937039530497,0,0
nut nut,Nuke,123,0.9875453088688294,0.9897028346126205,0.32526251173954773,0.48951755249852913,0,0
