map,Total Sample Size,#_Cells,Rejected_disp_%,Rejected_chi_pois_%,Mean_VMR,Median_VMR,Overdispersed_%,Rejected_nb_%,NB_defined_%,Mean_alpha,Median_alpha
Ancient,23115,269,54.646840148698885,16.356877323420075,1.4016845647741347,1.3713669286484822,96.28252788104089,3.861003861003861,96.28252788104089,0.07533468489964476,0.0663850705553991
Anubis,11294,180,46.111111111111114,13.333333333333334,1.3672811621954415,1.3357308899891316,90.55555555555556,7.361963190184049,90.55555555555556,0.07981141974513868,0.0725017175134136
Dust2,13992,197,57.868020304568525,21.31979695431472,1.4600840670117927,1.424967877189423,96.95431472081218,3.664921465968586,96.95431472081218,0.08820354305377506,0.0824726866546223
Inferno,13549,190,61.578947368421055,24.210526315789473,1.4675384292666476,1.4122167126708787,98.42105263157895,3.7433155080213902,98.42105263157895,0.0854876128177389,0.0809821578769037
Mirage,19263,225,42.66666666666667,14.666666666666666,1.3179624530865486,1.2972761120909269,93.33333333333333,2.857142857142857,93.33333333333333,0.07066012217016472,0.0664746866253915
Nuke,17921,223,33.18385650224215,9.865470852017937,1.2742577224881908,1.2580514646382908,88.78923766816143,7.07070707070707,88.78923766816143,0.07225361604559134,0.0642136101768574
