player,map,N,Stats_kd,Stats_kast,P_kd,P_kast,reject_kd,reject_kast
Nami,Ancient,98,0.986250010592204,0.9701257409567342,0.4037049441797389,0.0248097530216992,0,0
Nami,Dust2,46,0.9523402168347687,0.9858625213815758,0.05774214433255744,0.8425319809054963,0,0
Nami,Mirage,75,0.9820099211012832,0.9867378618044506,0.36497843773572647,0.6256956633291682,0,0
Nami,Nuke,74,0.973600968813572,0.977601184881389,0.12350442183020993,0.21209177915739613,0,0
Fessor,Ancient,52,0.9770892893623476,0.9826587200225106,0.41073749725036607,0.6441945300284453,0,0
Fessor,Mirage,44,0.949896081313344,0.953501409483666,0.054535351974194235,0.0743232367210923,0,0
shalfey,Ancient,68,0.9888545554989613,0.9805226940208625,0.8076193799264983,0.3658920215895213,0,0
shalfey,Anubis,57,0.9822955046492367,0.966783475207344,0.5676975233954443,0.11865526058699921,0,0
shalfey,Dust2,58,0.9803088528547219,0.9823267438616308,0.4649592360402855,0.5575011477262113,0,0
shalfey,Inferno,55,0.98326908101938,0.9714750707096285,0.6377402585309981,0.2142510827893941,0,0
shalfey,Mirage,84,0.9722936570707988,0.986968948047298,0.0667576136631806,0.562353255579485,0,0
shalfey,Nuke,110,0.9872700528381692,0.9803688286185036,0.38629839874633776,0.10475834026577668,0,0
Alisson,Ancient,56,0.9891452535240811,0.9651290875133678,0.8945107920796291,0.1048120954237482,0,0
Alisson,Dust2,58,0.9924833929905283,0.9816056710057132,0.9763613685643722,0.5233682908327103,0,0
Alisson,Inferno,57,0.9816671162949525,0.95810727916986,0.5380652804400089,0.04643423889475273,0,0
Alisson,Mirage,52,0.9700874985641542,0.9291507963337392,0.21311036675202477,0.004159463972628059,0,1
Alisson,Nuke,61,0.9389895481022418,0.9754394825244449,0.004459067817014268,0.25719014528427214,1,0
Sandman,Ancient,72,0.9857801567710794,0.9494609695536558,0.5949638415135731,0.005838802439055815,0,1
Sandman,Dust2,54,0.9752314410085282,0.9899060914834709,0.3237628533803735,0.928650233571444,0,0
Sandman,Inferno,93,0.9825356956046031,0.987152387679106,0.24978467577333313,0.5012618430447817,0,0
fREQ,Ancient,96,0.9863883858596335,0.9916212964309367,0.42736039887578037,0.8135122500573986,0,0
fREQ,Dust2,93,0.977580562771462,0.9800189723652604,0.10990337415206825,0.16536993831331132,0,0
fREQ,Mirage,98,0.9839907185145086,0.9744184154367211,0.28066150828382447,0.05267129539735321,0,0
fREQ,Nuke,91,0.9849313371799319,0.9758715379362616,0.3786795538629293,0.08884586762323798,0,0
rafaxF,Ancient,50,0.9727316234290844,0.9559859309632109,0.2978891875377401,0.060385468122127306,0,0
REDSTAR,Ancient,44,0.9767069955010753,0.9879331709586946,0.5074794381469584,0.9208427788571207,0,0
REDSTAR,Mirage,45,0.9843815912013187,0.9711450554588364,0.7963946372605213,0.31842360137292336,0,0
tN1R,Ancient,126,0.9860056153345498,0.9784135931060947,0.2232400049420114,0.041384107714827395,0,0
tN1R,Anubis,83,0.9857673270777776,0.9414396208708647,0.49394438854247896,0.0009014279589411377,0,1
tN1R,Dust2,107,0.9898431884187635,0.96736951778152,0.6048512096213343,0.009831453220334815,0,0
tN1R,Inferno,60,0.9688170593638858,0.9876082533743483,0.12767942293865153,0.8028157185430586,0,0
tN1R,Mirage,118,0.9850186201515394,0.9879686382699163,0.2156552571904805,0.3835798633884325,0,0
tN1R,Nuke,115,0.9860717502628269,0.9872816695087558,0.2828559216434971,0.3552267501876696,0,0
roeJ,Ancient,69,0.9690227642363881,0.9707108643234335,0.08426485633133113,0.10470554898700535,0,0
roeJ,Anubis,46,0.973984036631216,0.9689222216581341,0.38616599015782677,0.2525127787784289,0,0
roeJ,Inferno,68,0.9798130323733729,0.9791262847622679,0.33707892895362135,0.31097908654278056,0,0
roeJ,Nuke,48,0.9739396184354309,0.9665655078905692,0.35772290159369585,0.18548352286727793,0,0
iM,Ancient,80,0.9860605851307679,0.975971640934699,0.5385421154794732,0.1364689750322305,0,0
iM,Anubis,43,0.9412282747459063,0.9779537101742346,0.028736432831236947,0.5685662390598291,1,0
iM,Dust2,58,0.9782329739922467,0.9677606994365454,0.38073180096784465,0.12537232842381935,0,0
iM,Inferno,76,0.9844606071414661,0.9726272819075938,0.4804060757831376,0.099206056207994,0,0
iM,Mirage,103,0.9871218486089048,0.9786288451325841,0.42418684022842157,0.09397982273563521,0,0
iM,Nuke,70,0.9832785828546481,0.9874545331977032,0.47501573467125185,0.7129994512711326,0,0
Grim,Ancient,65,0.9837481082066355,0.9740586434153067,0.5513704722924149,0.18848484507196994,0,0
Grim,Anubis,62,0.9818134727447025,0.9728123452745545,0.48724629996617375,0.18398266853107076,0,0
Grim,Inferno,54,0.9691908966704961,0.9803875015628543,0.1775542726920934,0.5170799428580256,0,0
Grim,Nuke,56,0.9570149440040324,0.9919531995133309,0.04421681806620632,0.9708536825118426,0,0
JUST,Nuke,48,0.9749957903150988,0.9255082667267035,0.3910692067114494,0.004674813776593952,0,1
FenomeN,Ancient,136,0.991531450961501,0.9832507965892906,0.5878783413415094,0.0940747885461769,0,0
FenomeN,Anubis,121,0.9839493639897667,0.9862208931157471,0.16106714396028837,0.2584749855618505,0,0
FenomeN,Dust2,116,0.9615877854057682,0.9865396239418603,0.0021206993228221303,0.30343163696837894,0,0
FenomeN,Mirage,136,0.9819457887061519,0.9719343153869131,0.06873329199721182,0.006563531672990228,0,0
FenomeN,Nuke,106,0.9852613846004828,0.9668268021757515,0.29277928452710844,0.009368583447671167,0,0
makazze,Ancient,137,0.9895048158055493,0.992664207893804,0.39127065288401486,0.7026640647251917,0,0
makazze,Anubis,59,0.9824347851871147,0.9922913892335187,0.5511509112949425,0.9714174600615456,0,0
makazze,Dust2,73,0.9631643989878734,0.9904777659769198,0.031530714207450745,0.8621801088247834,0,0
makazze,Inferno,67,0.972301542075059,0.9804183706216584,0.14000699307559794,0.3714389038469641,0,0
makazze,Mirage,94,0.985914678563696,0.9497786619817177,0.41300719462321933,0.0012208485173514445,0,1
makazze,Nuke,83,0.9804679107910654,0.971533165845064,0.23881062160446015,0.062124431715837654,0,0
Plopski,Ancient,99,0.9820785617985519,0.9627341091454368,0.19762750431543946,0.006694339200947419,0,0
Plopski,Dust2,46,0.9773348361360641,0.9697989244002978,0.5013067068962518,0.27229801912448653,0,0
Plopski,Inferno,78,0.9860748957580784,0.9624202667621481,0.5573622600621224,0.021286210743511266,0,0
Plopski,Mirage,100,0.9806902318988948,0.9836029254190957,0.15040080302362446,0.25079377943382825,0,0
Plopski,Nuke,68,0.9822434268877159,0.9804789364669119,0.44356148674543594,0.36406081262129353,0,0
blameF,Ancient,127,0.988299520757704,0.939377686144021,0.35406354712886423,2.3394510462090207e-05,0,1
blameF,Anubis,45,0.9860672977589509,0.9820320372947401,0.8578852531834831,0.7025698675600998,0,0
blameF,Dust2,58,0.9821990849614339,0.9654065389583959,0.5513819456618032,0.09677337558772925,0,0
blameF,Inferno,77,0.9913829761469776,0.9767527345398441,0.8881293444969316,0.1702342317995144,0,0
blameF,Mirage,104,0.9897083360694029,0.981812366102026,0.6137689420535468,0.16435570014193668,0,0
abr,Ancient,73,0.9821432720845319,0.9432494632796389,0.38958868714470807,0.0025482289209240463,0,1
abr,Anubis,45,0.965233746191265,0.9750239798055274,0.1929474072747368,0.4340190734155368,0,0
abr,Dust2,68,0.9741381342738263,0.9932637776790632,0.16896012505195995,0.97513848860503,0,0
abr,Mirage,82,0.9806367110498664,0.986995127806874,0.25183413636904395,0.5810792740860954,0,0
abr,Nuke,97,0.9734579773790888,0.9874702783476602,0.046354618737737156,0.4924647557530105,0,0
Bhavi,Ancient,52,0.9346241176878562,0.9772774409238553,0.006812832156789106,0.4176061544617202,1,0
Bhavi,Inferno,42,0.9787773726679952,0.9668697420000465,0.61459780933694,0.2582647321927683,0,0
SHiNE,Ancient,56,0.9564593907935611,0.9905580143424282,0.04170024240331701,0.9394565570762632,0,0
SHiNE,Inferno,61,0.9746575681890958,0.9597837666535824,0.23587051415909738,0.04308334744300171,0,0
SHiNE,Mirage,83,0.9670788422000235,0.9798581819983089,0.03170031403696373,0.21839483322231096,0,0
SHiNE,Nuke,46,0.9554092551127402,0.9801634365990661,0.07596299650837818,0.6126220719564932,0,0
rafaxF,Ancient,50,0.9727316234290844,0.9559859309632109,0.2978891875377401,0.060385468122127306,0,0
cptkurtka023,Ancient,161,0.9835012352977484,0.9702473165482485,0.05237214720755855,0.001518610555446534,0,0
cptkurtka023,Anubis,85,0.9796553245317793,0.9824188923303533,0.1993860860487724,0.3005421559917778,0,0
cptkurtka023,Dust2,85,0.9808663172905497,0.9847269693470106,0.2391951114638186,0.41549675629677385,0,0
cptkurtka023,Inferno,62,0.9766436504285074,0.9756971195958759,0.2835702590602418,0.25525035657147344,0,0
cptkurtka023,Mirage,157,0.9821545694921625,0.9901564550046353,0.040119949975863316,0.3455584039676999,0,0
cptkurtka023,Nuke,100,0.9860452153376708,0.9762620887109319,0.3766793675585206,0.06775443340474437,0,0
j0w,Ancient,69,0.95835249155466,0.9709942269507299,0.021687554170299595,0.1085897952727517,0,0
j0w,Dust2,67,0.9569260657250267,0.9547043335570006,0.020771168942676055,0.015889801652913312,0,0
j0w,Mirage,64,0.9522643385804621,0.9880849997471904,0.014812796113273333,0.7960580108731987,0,0
Get_Jeka,Ancient,90,0.9583175402095753,0.9734808759989374,0.005660673443921192,0.062361678751907956,0,0
Get_Jeka,Anubis,62,0.9727619190535851,0.9170817578986759,0.18292006888003198,0.0004691691756963577,0,1
Get_Jeka,Dust2,57,0.9730915572353003,0.9786737290432433,0.23296174487276294,0.40925169197660316,0,0
Get_Jeka,Inferno,76,0.9839245049898292,0.9746561795552351,0.4509595613392716,0.13181882795084476,0,0
Get_Jeka,Mirage,115,0.9778096980454339,0.992622755756255,0.05310862465714346,0.80127606731704,0,0
Get_Jeka,Nuke,66,0.9818235986312582,0.975937253642301,0.4443197020492392,0.22721521823583735,0,0
hfah,Ancient,52,0.9553734676467083,0.9757281697989949,0.049388654707913066,0.36354056642797117,0,0
hfah,Anubis,42,0.9724516940580304,0.9792490265373568,0.39770888173093244,0.6326042339123681,0,0
hfah,Dust2,62,0.9587850817364151,0.9800078589327041,0.036029487254263325,0.4065636591525753,0,0
hfah,Mirage,62,0.9849339767178416,0.9640466911123001,0.6459978136556785,0.0663170135928754,0,0
hfah,Nuke,49,0.968954330671038,0.9733992663340515,0.21995761905407346,0.3288127717605318,0,0
NEOFRAG,Ancient,121,0.9824339389037638,0.9893583317684986,0.11657149653786719,0.47252341546204873,0,0
NEOFRAG,Anubis,66,0.9870961093282679,0.9835834135296376,0.72657584637331,0.532150561878439,0,0
NEOFRAG,Inferno,66,0.9825534360453987,0.9775818486582375,0.4795806884219475,0.2760501480811244,0,0
NEOFRAG,Mirage,97,0.9804506924501867,0.9891690541263894,0.1576762318963149,0.6193520755318684,0,0
Magisk,Ancient,51,0.9768253654050313,0.9880469147898023,0.41406258177736927,0.884247311215719,0,0
Magisk,Dust2,49,0.9631851468324023,0.9844071604856853,0.12810531086515548,0.7563295627910183,0,0
Magisk,Mirage,54,0.9714464934400203,0.9837326360400976,0.22307587014802766,0.6712791769025941,0,0
Magisk,Nuke,75,0.9804071600447171,0.9765162956951225,0.2975358597199126,0.17697318589946393,0,0
tory,Ancient,49,0.963779716249631,0.9670411575660597,0.1355112618790938,0.18413563639503366,0,0
tory,Mirage,64,0.98664075468552,0.9738984564104702,0.7190749168074956,0.19242690747456503,0,0
twenty3,Ancient,51,0.9615488588494383,0.9852103847851503,0.09711235638374427,0.7709098055389698,0,0
twenty3,Dust2,43,0.9788770735470449,0.9462271410847443,0.6037849203662146,0.04346539996775656,0,1
