player,map,N,lambda,VMR,Disp_Stat,P_disp,Chi_stat,P_chi,n_bins,reject_disp,reject_chi
Snax,Ancient,70,5.714285714285714,1.365217391304348,94.2,0.04727826140856854,5.30738521056406,0.5050353752115997,8,1,0
Snax,Dust2,44,6.204545454545454,1.4736348922395437,63.366300366300386,0.04643489389042643,4.538652809730363,0.4747285414685616,7,1,0
Snax,Inferno,57,7.385964912280702,1.8846284356973195,105.5391923990499,0.00014025922548955942,14.699536134384967,0.022726895151891,8,1,1
Snax,Mirage,73,5.575342465753424,1.4544089544089547,104.71744471744475,0.01425075221082271,11.400775315961273,0.07675210884214335,8,1,0
Snax,Nuke,65,4.892307692307693,1.163325471698113,74.45283018867923,0.34920905595608703,3.9265361680807924,0.5600407803711038,7,0,0
oSee,Ancient,67,4.731343283582089,1.6625561609788742,109.72870662460569,0.001172218225095517,10.345024368256853,0.06602896153783516,7,1,0
oSee,Anubis,59,5.271186440677966,1.581993569131833,91.75562700964632,0.006263033039600104,12.830096417069406,0.04581478658379454,8,1,1
oSee,Dust2,61,6.147540983606557,1.1269333333333331,67.616,0.4665417434670932,4.11636930144423,0.6609319222861394,8,0,0
oSee,Inferno,67,5.835820895522388,1.4933736340385957,98.56265984654732,0.011582151915608215,6.300178997352528,0.27809612015315693,7,1,0
oSee,Mirage,85,5.435294117647059,1.359925788497217,114.23376623376623,0.031556299990618174,7.14850674871229,0.3073315868111878,8,1,0
malbsMd,Ancient,113,5.123893805309734,1.3700962250185051,153.45077720207254,0.011402562482555436,10.35054681582314,0.11064494571756647,8,1,0
malbsMd,Anubis,46,5.065217391304348,1.0301382927992369,46.35622317596566,0.8323259004426239,7.592085706871165,0.1801958200637856,7,0,0
malbsMd,Dust2,71,4.985915492957746,2.358030669895077,165.0621468926554,2.3868648825475087e-09,11.522663789309032,0.04194730579614516,7,1,1
malbsMd,Inferno,85,5.364705882352941,1.3174603174603179,110.6666666666667,0.0544773263222362,6.571369816827287,0.36230945290051214,8,0,0
