player,map,N,lambda,VMR,Disp_Stat,P_disp,Chi_stat,P_chi,n_bins,reject_disp,reject_chi
prosus,Ancient,73,5.465753424657534,1.0270119743803954,73.94486215538846,0.8289069137757024,3.0692473951281043,0.8001067318723972,8,0,0
prosus,Anubis,42,5.071428571428571,1.485056681552731,60.887323943661976,0.0468320968851899,4.468580701958419,0.34628926988060815,6,1,0
prosus,Dust2,52,6.115384615384615,2.1780737452213588,111.08176100628931,4.74508720946359e-06,3.460613727054377,0.6293554740364925,7,1,0
prosus,Mirage,46,4.086956521739131,0.9333333333333332,41.99999999999999,0.8004238862363633,2.7701714136499094,0.5969925484327235,6,0,0
prosus,Nuke,44,3.9318181818181817,1.4360801182954694,61.75144508670519,0.06353337797112933,5.548667495694925,0.13575656631237926,5,0,0
Buzz,Ancient,98,6.010204081632653,1.6072147445434337,155.89983022071308,0.0002793457022467089,13.181019501426512,0.06781880420750083,9,1,0
Buzz,Anubis,45,5.5777777777777775,1.7234697573342994,75.83266932270918,0.00403965250703744,4.386887756851648,0.49515856806927716,7,1,0
Buzz,Inferno,56,4.214285714285714,1.0933744221879813,60.135593220338976,0.5903432044354396,4.373737278842719,0.35778257035656685,6,0,0
Buzz,Mirage,50,4.48,1.2321428571428572,60.375,0.2556568582064371,3.0510755724531213,0.5493147088582329,6,0,0
Buzz,Nuke,57,4.491228070175438,1.2732979910714288,71.30468750000001,0.1633683095945622,11.73416566642711,0.019441536575109865,6,0,1
Tatu,Dust2,42,4.071428571428571,1.4903722721437738,61.105263157894726,0.044820139938710535,1.7576278437605526,0.6241987060878205,5,1,0
flameZ,Anubis,44,5.4772727272727275,0.9891923188265945,42.53526970954356,0.9826577424270375,1.2821545800366239,0.8643959154350425,6,0,0
flameZ,Dust2,79,5.037974683544304,0.8420306661512692,65.678391959799,0.3223191317972057,7.099683229823458,0.31172691492016213,8,0,0
flameZ,Inferno,90,5.933333333333334,1.131675293523545,100.71910112359551,0.37238521291606225,2.3287600913008037,0.9394305701178328,9,0,0
flameZ,Mirage,86,6.058139534883721,1.3257988032065033,112.6928982725528,0.04781094384050212,13.798173321889454,0.05488970338792816,9,1,0
flameZ,Nuke,82,4.475609756097561,1.1156524371783227,90.36784741144415,0.4464603687280725,2.6044789057247977,0.8565964563550524,8,0,0
roman,Ancient,59,5.135593220338983,1.2855354500967342,74.56105610561058,0.14094163975890855,5.586515900801324,0.3485523314509557,7,0,0
roman,Anubis,49,3.836734693877551,1.5458776595744683,74.20212765957447,0.017968996638712563,3.4694453774333343,0.4825394250921502,6,1,0
roman,Nuke,77,3.6103896103896105,0.9341158652025748,70.9928057553957,0.7180950638111678,1.7253781217670288,0.8856871639248957,7,0,0
imoRR,Dust2,54,5.518518518518518,1.3931872863112578,73.83892617449666,0.061526619020786766,6.85842515865474,0.2313841385266381,7,0,0
imoRR,Inferno,45,5.066666666666666,1.2775119617224882,56.21052631578948,0.20506513353750247,3.102713889930323,0.6841539364471271,7,0,0
happ,Ancient,100,4.87,1.2679360338497916,125.52566735112937,0.07419747255807554,9.044512407232078,0.1710901574787313,8,0,0
happ,Dust2,70,4.557142857142857,1.638680659670165,113.0689655172414,0.0013043829316910019,9.03980630226378,0.10748691338105244,7,1,0
happ,Inferno,118,4.11864406779661,1.8102775139812177,211.80246913580248,3.822189492210195e-07,18.128821813141162,0.0059181993994379565,8,1,1
happ,Mirage,61,3.9672131147540983,1.2348484848484844,74.09090909090905,0.20864495999399602,3.324940569695414,0.6500255110131392,7,0,0
happ,Nuke,79,3.8987341772151898,1.0233100233100234,79.81818181818181,0.8432320250503663,2.9766117128312684,0.7035917947014387,7,0,0
fozil,Ancient,109,4.89908256880734,1.3946109030378695,150.6179775280899,0.008497991707231131,4.052530144986202,0.6695676401409323,8,1,0
fozil,Anubis,61,5.049180327868853,1.5146103896103897,90.87662337662339,0.01236981087623018,4.056871007517331,0.5412573400178095,7,1,0
fozil,Dust2,112,4.508928571428571,1.362643831950763,151.25346534653468,0.013361158115767378,18.130049085654527,0.005915283096053489,8,1,1
fozil,Mirage,112,4.660714285714286,1.6451624037830936,182.6130268199234,4.377256208920629e-05,20.71670186465942,0.00421287153252204,9,1,1
fozil,Nuke,102,4.0,1.2425742574257426,125.5,0.09947851641584933,1.6052694524267412,0.9521978209022742,8,0,0
kade0,Ancient,52,5.1923076923076925,1.4881626724763977,75.89629629629628,0.026861093256599942,7.448471672378848,0.18936546749887928,7,1,0
